campanha;rotulo_campanha;especie_CBRO;especie_CNAA;codigo_CNAA;nome_vulgar;familia;grupos;ordem;registros;data;mes;ano;estacao;local;latitude;longitude;imagem
3;fev-23-IR;Charadrius collaris;Charadrius collaris;CHACO;batuíra-de-coleira;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;1;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;charadrius_collaris.png
3;fev-23-IR;Numenius hudsonicus;Numenius phaeopus;NUMPH;maçarico-de-bico-torto;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;104;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;numenius_hudsonicus.png
3;fev-23-IR;Tringa melanoleuca;Tringa melanoleuca;TRIME;maçarico-grande-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;tringa_melanoleuca.png
3;fev-23-IR;Tringa flavipes;Tringa flavipes;TRIFL;maçarico-de-perna-amarela;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;2;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;tringa_flavipes.png
3;fev-23-IR;Actitis macularia;Actitis macularius;ACTMA;maçarico-pintado;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;73;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;actitis_macularia.png
3;fev-23-IR;Tringa semipalmata;Catoptrophorus semipalmatus;CATSE;maçarico-de-asa-branca;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;11;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;tringa_semipalmata.png
3;fev-23-IR;Arenaria interpres;Arenaria interpres;AREIN;vira-pedras;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;3;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;arenaria_interpres.png
3;fev-23-IR;Calidris alba;Calidris alba;CALAA;maçarico-branco;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;1;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;calidris_alba.png
3;fev-23-IR;Calidris pusilla;Calidris pusilla;CALPU;maçarico-rasteirinho;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;32;14/02/2023;fevereiro;2023;seca;Ilha da Restinga;-6,996267;-34,85576;calidris_pusilla.png
5;jul-23-IR;Ardea alba;Casmerodius albus;EGRAL;garça-branca-grande;Ardeidae;Garças e Socós;Pelecaniformes;20;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;ardea_alba.png
5;jul-23-IR;Butorides striata;Butorides striatus;BUTST;socozinho;Ardeidae;Garças e Socós;Pelecaniformes;8;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;butorides_striata.png
5;jul-23-IR;Egretta caerulea;Egretta caerulea;EGRCA;garça-azul;Ardeidae;Garças e Socós;Pelecaniformes;30;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;egretta_caerulea.png
5;jul-23-IR;Egretta thula;Egretta thula;EGRTH;garça-branca-pequena;Ardeidae;Garças e Socós;Pelecaniformes;117;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;egretta_thula.png
5;jul-23-IR;Vanellus chilensis;Vanellus chilensis;VANCH;quero-quero;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;1;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;vanellus_chilensis.png
5;jul-23-IR;Nyctanassa violacea;Nyctanassa violacea;NYCVI;savacu-de-coroa;Ardeidae;Garças e Socós;Pelecaniformes;1;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;nyctanassa_violacea.png
5;jul-23-IR;Charadrius semipalmatus;Charadrius semipalmatus;CHASE;batuíra-de-bando;Charadriidae;Batuiruçus e Batuíras;Charadriiformes;3;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;charadrius_semipalmatus.png
5;jul-23-IR;Numenius hudsonicus;Numenius phaeopus;NUMPH;maçarico-de-bico-torto;Scolopacidae;Maçaricos e Narcejas;Charadriiformes;31;04/07/2023;julho;2023;chuvosa;Ilha da Restinga;-6,996267;-34,85576;numenius_hudsonicus.png
