contagem	especie_CBRO	especie_CNAA	codigo_CNAA	nome_vulgar	familia	grupos	ordem	registros	data	mes	ano	local	latitude	longitude	estacao	imagem
4	Calidris pusilla	Calidris pusilla	CALPU	ma‡arico-rasteirinho	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	32	14/02/2023	fevereiro	2023	Ilha da Restinga	-6,996267	-34,85576	seca	calidris_pusilla.png
5	Ardea alba	Casmerodius albus	EGRAL	gra‡a-branca-grande	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	20	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	ardea_alba.png
5	Butorides striata	Butorides striatus	BUTST	socozinho	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	8	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	butorides_striata.png
5	Egretta caerulea	Egretta caerulea	EGRCA	gar‡a-azul	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	30	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	egretta_caerulea.png
5	Egretta thula	Egretta thula	EGRTH	gar‡a-branca-pequena	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	117	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	egretta_thula.png
5	Vanellus chilensis	Vanellus chilensis	VANCH	quero-quero	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	1	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	vanellus_chilensis.png
5	Nyctanassa violacea	Nyctanassa violacea	NYCVI	savacu-de-coroa	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	nyctanassa_violacea.png
5	Charadrius semipalmatus	Charadrius semipalmatus	CHASE	batu¡ra-de-bando	Charadriidae	Batuiru‡us e Batu¡ras	Charadriiformes	3	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	charadrius_semipalmatus.png
5	Numenius hudsonicus	Numenius phaeopus	NUMPH	ma‡arico-de-bico-torto	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	31	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	numenius_hudsonicus.png
5	Tringa melanoleuca	Tringa melanoleuca	TRIME	ma‡arico-grande-de-perna-amarela	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	2	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	tringa_melanoleuca.png
5	Tringa semipalmata	Catoptrophorus semipalmatus	CATSE	ma‡arico-de-asa-branca	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	2	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	tringa_sempalmata.png
5	Arenaria interpres	Arenaria interpres	AREIN	vira-pedras	Scolopacidae	Ma‡aricos e Narcejas	Charadriiformes	1	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	arenaria_interpres.png
5	Thalasseus acuflavidus	Sterna sandvicensis	STESA	trinta-r‚is-de-bando	Laridae	Gaivotas e Trinta-r‚is	Charadriiformes	2	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	thalasseus_acuflavidus.png
5	Sterna hirundo	Sterna hirundo	STEHI	trinta-r‚is-boreal	Laridae	Gaivotas e Trinta-r‚is	Charadriiformes	11	04/07/2023	julho	2023	Ilha da Restinga	-6,996267	-34,85576	chuvosa	sterna_hirundo_png
6	Ardea cocoi	Ardea cocoi	ARDCO	gar‡a-moura	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	ardea_cocoi.png
6	Ardea alba	Casmerodius albus	EGRAL	gar‡a-branca-grande	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	37	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	ardea_alba.png
6	Bubulcus ibis	Ardea ibis	BUBIB	gar‡a-vaqueira	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	1	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	bubulcus_ibis.png
6	Egretta thula	Egretta thula	EGRTH	gar‡a-branca-pequena	Ardeidae	Gar‡as e Soc¢s	Pelecaniformes	150	14/07/2023	julho	2023	Lagoa de Guara¡ras	-6,188437	-35,119253	chuvosa	egretta_thula.png
